Ab_name,Description
Guard,Press square for a temporary window in which to parry an attack. Works great with Counter
Upper Slash,Knock enemies into the air during combo with the Square Button
Horizontal Slash,Left-to-right slash during air combo with the Square Button
Finishing Leap,Leaping attack at end of combo with the Square Button
Retaliating Slash,Regain balance and attack with the Square Button when knocked into the air
Slapshot,Series of repeated attacks
Dodge Slash,Damages nearby enemies
Slide Dash,Dash in and attack faraway enemies
Guard Break,Thrusting combo-finish move that breaks enemy guards
Explosion,Powerful magic-based combo finisher that surrounds Sora
Aerial Sweep,Leaping attack towards airborne targets
Aerial Spiral,Air-dash to flying targets and attack with spinning swipes
Aerial Finish,Powerful finishing move for aerial combos
Counterguard,Counterattack nearby foes whe using Guard
Auto Valor,Set Valor Form to Reaction Command if HP is at 25% or less and Sora has at least 3 available Drive Gauge bars
Auto Wisdom,Set Wisdom Form to Reaction Command if HP is at 25% or less and Sora has at least 3 available Drive Gauge bars
Auto Master,Set Master Form to Reaction Command if HP is at 25% or less and Sora has at least 4 available Drive Gauge bars
Auto Final,Set Final Form to Reaction Command if HP is at 25% or less and Sora has at least 5 available Drive Gauge bars
Auto Summon,Set Summon to Reaction Command when an ally is down
Trinity Limit,Enable “Trinity” Limit Command
High Jump LV1,Increased jump height
High Jump LV2,Increased jump height
High Jump LV3,Increased jump height
Quick Run LV1,Press the Square Button on the ground to dash quickly
Quick Run LV2,Press the Square Button on the ground to dash quickly
Quick Run LV3,Press the Square Button on the ground to dash quickly
Aerial Dodge LV1,Jump again in the air with the Circle Button
Aerial Dodge LV2,Jump again in the air with the Circle Button
Aerial Dodge LV3,Jump again in the air with the Circle Button
Glide LV1,Press and hold the Square Button in midair to glide around
Glide LV2,Press and hold the Square Button in midair to glide around
Glide LV3,Press and hold the Square Button in midair to glide around
Aerial Recovery,Regain balance with the Circle Button when knocked into the air
Scan,See targeted enemy’s current HP
Combo Boost,Number of combo hits increases ground combo finisher damage
Experience Boost,Earned EXP increases when HP is at 25% or less
Item Boost,Healing Items’ effects increased x1.5 when used from menu
Magic Lock-On,Automatically target enemies when casting attack magic
Reaction Boost,Damage from Reaction Commands increased x1.5
Damage Drive,Drive Gauge is refilled when damage is taken
Fire Boost,Fire magic damage increased x1.2
Leaf Bracer,Cure magic is not interrupted when attacked
Drive Boost,Drive Gauge restoration increased x1.2 during MP Charge
Draw,Draw in dropped Orbs from further away
Combination Boost,Limit Gauge depletes at 80% normal speed
Defender,Defense +2 when HP is at 25% or less
Blizzard Boost,Blizzard magic damage increased x1.2
Air Combo Boost,Number of combo hits increases air combo finisher damage
Jackpot,Increase Orb and Munny drop rate x1.5
Negative Combo,Reduce ground and air combos by 1 attack
Lucky Lucky,Increase Item drop rate x1.3
MP Rage,MP is restored when damage is taken
Thunder Boost,Thunder magic damage increased x1.2
Finishing Plus,Double finishing moves after combos
Second Chance,1HP remains if HP is depleted by powerful attack
Berserk Charge,Channel the party’s remaining MP to crush surrounding foes. Costs a minimum of 3 MP
Combo Plus,1 attack to ground combos
Air Combo Plus,Adds 1 attack to aerial combos
MP Haste,MP Charge Gauge refills faster x1.25
Form Boost,Form Gauge depletes at 80% normal speed
Summon Boost,Summon Gauge depletes at 80% normal speed
Flash Step,Sora does an extremely fast step attack to uppercut and break the enemy’s Guard from a certain distance
Round Break,"If there are many enemies around Sora, Sora will do a spin slash to hits enemies who surround him"
Aerial Dive,"While standing on the ground, Sora jumps and hits with 3 diagonal slashes towards an aerial enemy"
Magnet Splash,"Air combo finisher; When there are multiple enemies near him, Sora spins around while creating a magnetic force which explodes"
Auto Limit,"Automatically sets the Reaction Command to Limit in a pinch, if Limit Form is usable"
Dodge Roll LV1,Roll along the ground and dodge enemy attacks with the Square Button
Dodge Roll LV2,Roll along the ground and dodge enemy attacks with the Square Button
Dodge Roll LV3,Roll along the ground and dodge enemy attacks with the Square Button
Combo Master,Allows a combo to be continued even if an attack misses
Drive Converter ,Converts munny into Drive orbs
Damage Control ,Halves the damage you take when at critical health.
EXP Zero ,No EXP is received for defeating enemies
